"Inequality-adjusted education index"
"Dimension: Inequality"
"Definition: HDI education index value adjusted for inequality in distribution of years of schooling based on data from household surveys listed in Main data sources."
"Source: Calculated based on inequality in education and the HDI education index."
""
"HDI Rank","Country","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017","","2018","","2019",""
"102"," Jordan","0.513","","0.528","","0.531","","0.520","","0.558","","0.560","","0.558","","0.550","","0.562","","0.564",""
"51"," Kazakhstan","0.740","","0.749","","0.745","","0.755","","0.758","","0.758","","0.783","","0.791","","0.796","","0.804",""
"143"," Kenya","0.355","","0.352","","0.357","","0.362","","0.391","","0.412","","0.412","","0.413","","0.413","","0.412",""
"134"," Kiribati","..","","..","","..","","0.467","","0.468","","0.458","","0.464","","0.464","","..","","0.537",""
"23"," Korea (Republic of)","0.638","","0.643","","0.644","","0.622","","0.644","","0.645","","0.706","","0.705","","0.705","","0.789",""
"64"," Kuwait","..","","..","","..","","..","","..","","..","","0.521","","0.522","","0.497","","0.497",""
"120"," Kyrgyzstan","0.619","","0.620","","0.664","","0.663","","0.683","","0.687","","0.686","","0.688","","0.687","","0.706",""
"137"," Lao People's Democratic Republic","0.298","","0.311","","0.316","","0.304","","0.308","","0.315","","0.320","","0.318","","0.329","","0.331",""
"37"," Latvia","0.822","","0.816","","0.813","","0.820","","0.831","","0.832","","0.839","","0.844","","0.861","","0.861",""
"92"," Lebanon","..","","0.483","","0.470","","0.467","","0.454","","0.450","","0.551","","0.566","","0.566","","0.567",""
"165"," Lesotho","0.369","","0.377","","0.383","","0.386","","0.390","","0.390","","0.407","","0.410","","0.413","","0.428",""
"175"," Liberia","0.215","","0.229","","0.222","","0.225","","0.226","","0.237","","0.238","","0.241","","0.241","","0.243",""
"34"," Lithuania","0.818","","0.825","","0.812","","0.805","","0.827","","0.833","","0.839","","0.850","","0.852","","0.863",""
"23"," Luxembourg","0.732","","0.731","","0.730","","0.732","","0.736","","0.742","","0.733","","0.726","","0.738","","0.756",""
"164"," Madagascar","0.335","","0.338","","0.342","","0.344","","0.321","","0.324","","0.321","","0.321","","0.318","","0.343",""
"174"," Malawi","0.279","","0.283","","0.305","","0.314","","0.319","","0.328","","0.326","","0.326","","0.331","","0.336",""
"62"," Malaysia","..","","..","","..","","..","","..","","..","","..","","0.611","","0.632","","0.638",""
"95"," Maldives","0.438","","0.302","","0.309","","0.313","","0.327","","0.335","","0.338","","0.338","","0.399","","0.405",""
"184"," Mali","0.175","","0.179","","0.179","","0.176","","0.166","","0.160","","0.163","","0.152","","0.174","","0.160",""
"28"," Malta","..","","..","","0.735","","0.744","","0.739","","0.754","","0.758","","0.760","","0.768","","0.774",""
"117"," Marshall Islands","..","","..","","..","","..","","..","","..","","..","","..","","0.677","","0.677",""
"157"," Mauritania","0.192","","0.196","","0.208","","0.201","","0.225","","0.228","","0.235","","0.231","","0.232","","0.235",""
"66"," Mauritius","..","","0.589","","0.604","","0.613","","0.632","","0.626","","0.632","","0.634","","0.636","","0.639",""
"74"," Mexico","0.520","","0.507","","0.514","","0.512","","0.531","","0.540","","0.561","","0.565","","0.566","","0.574",""
"136"," Micronesia (Federated States of)","0.427","","0.430","","..","","..","","..","","..","","..","","..","","..","","..",""
"90"," Moldova (Republic of)","0.644","","0.656","","0.666","","0.672","","0.661","","0.657","","0.655","","0.656","","0.656","","0.659",""
"99"," Mongolia","0.679","","0.692","","0.673","","0.704","","0.676","","0.682","","0.644","","0.646","","0.646","","0.649",""
"48"," Montenegro","0.712","","0.768","","0.769","","0.770","","0.733","","0.734","","0.735","","0.737","","0.742","","0.740",""
"121"," Morocco","0.257","","0.251","","0.260","","0.268","","0.277","","0.281","","..","","..","","..","","..",""
"181"," Mozambique","0.268","","0.281","","0.282","","0.298","","0.243","","0.247","","0.252","","0.255","","0.257","","0.262",""
"147"," Myanmar","..","","..","","..","","0.344","","0.348","","0.351","","0.322","","0.330","","0.335","","0.339",""
"130"," Namibia","0.388","","0.397","","0.402","","0.405","","0.408","","0.427","","0.428","","0.435","","0.437","","0.438",""
"142"," Nepal","0.250","","0.256","","0.270","","0.276","","0.292","","0.285","","0.288","","0.300","","0.305","","0.308",""
"8"," Netherlands","0.836","","0.861","","0.862","","0.863","","0.866","","0.868","","0.866","","0.861","","0.867","","0.865",""
"14"," New Zealand","..","","..","","..","","..","","..","","..","","0.896","","0.907","","0.863","","0.909",""
"128"," Nicaragua","0.347","","0.350","","0.353","","0.357","","0.390","","0.392","","0.417","","0.420","","0.420","","0.425",""
"189"," Niger","0.123","","0.115","","0.121","","0.126","","0.141","","0.147","","0.152","","0.159","","0.161","","0.162",""
"161"," Nigeria","0.220","","0.236","","0.239","","0.260","","0.269","","0.269","","0.266","","0.300","","0.302","","0.297",""
"82"," North Macedonia","0.546","","0.551","","0.588","","0.602","","0.604","","0.616","","0.622","","0.624","","0.628","","0.646",""
"1"," Norway","0.890","","0.894","","0.887","","0.893","","0.886","","0.890","","0.869","","0.870","","0.888","","0.908",""
"60"," Oman","..","","..","","..","","..","","..","","..","","..","","..","","0.633","","0.633",""
"154"," Pakistan","0.185","","0.187","","0.192","","0.195","","0.203","","0.207","","0.211","","0.211","","0.222","","0.227",""
"50"," Palau","..","","..","","..","","0.776","","0.778","","0.743","","0.747","","..","","0.832","","0.839",""
"115"," Palestine, State of","..","","..","","..","","0.614","","0.554","","0.558","","0.581","","0.580","","0.596","","0.599",""
"57"," Panama","0.599","","0.544","","0.549","","0.564","","0.568","","0.589","","0.601","","0.610","","0.610","","0.620",""
"155"," Papua New Guinea","..","","..","","..","","0.376","","0.372","","0.379","","0.379","","0.381","","0.382","","0.282",""
"103"," Paraguay","0.480","","0.485","","..","","0.516","","0.523","","0.546","","0.544","","0.528","","0.520","","0.531",""
"79"," Peru","0.455","","0.515","","0.519","","0.519","","0.551","","0.565","","0.602","","0.611","","0.596","","0.614",""
"107"," Philippines","0.542","","0.547","","0.557","","0.566","","0.584","","0.588","","0.586","","0.588","","0.599","","0.610",""
"35"," Poland","0.773","","0.778","","0.766","","0.806","","0.801","","0.809","","0.819","","0.826","","0.821","","0.826",""
"38"," Portugal","0.672","","0.681","","0.690","","0.696","","0.707","","0.722","","0.629","","0.639","","0.643","","0.653",""
"45"," Qatar","..","","..","","..","","..","","..","","..","","0.577","","0.586","","0.576","","0.581",""
"49"," Romania","0.681","","0.738","","0.725","","0.728","","0.729","","0.731","","0.726","","0.716","","0.722","","0.724",""
"52"," Russian Federation","0.686","","0.695","","..","","0.777","","0.782","","0.786","","0.797","","0.805","","0.798","","0.789",""
"160"," Rwanda","0.303","","0.303","","0.312","","0.318","","0.320","","0.319","","0.316","","0.327","","0.327","","0.324",""
"86"," Saint Lucia","..","","..","","..","","..","","0.581","","0.603","","0.606","","0.595","","0.589","","0.588",""
"111"," Samoa","..","","..","","..","","..","","..","","..","","..","","0.667","","0.666","","0.678",""
"135"," Sao Tome and Principe","0.352","","0.377","","0.381","","0.392","","0.393","","0.418","","0.436","","0.455","","0.463","","0.463",""
"40"," Saudi Arabia","..","","..","","..","","..","","..","","..","","0.671","","0.657","","0.647","","0.647",""
"168"," Senegal","0.159","","0.167","","0.183","","0.189","","0.191","","0.196","","0.194","","0.189","","0.192","","0.185",""
"64"," Serbia","0.642","","0.670","","0.665","","0.661","","0.693","","0.704","","0.703","","0.715","","0.719","","0.724",""
"67"," Seychelles","..","","..","","..","","..","","..","","..","","..","","..","","..","","0.678",""
"182"," Sierra Leone","0.181","","0.188","","0.192","","0.191","","0.189","","0.201","","0.204","","0.210","","0.214","","0.216",""
"11"," Singapore","..","","..","","..","","..","","..","","..","","0.768","","0.765","","0.749","","0.751",""
"39"," Slovakia","0.788","","0.805","","0.811","","0.810","","0.808","","0.811","","0.809","","0.812","","0.811","","0.813",""
"22"," Slovenia","0.843","","0.850","","0.830","","0.857","","0.854","","0.852","","0.865","","0.873","","0.880","","0.891",""
"151"," Solomon Islands","0.326","","..","","..","","0.360","","0.360","","0.362","","..","","..","","..","","..",""
"114"," South Africa","0.551","","0.534","","0.542","","0.570","","0.592","","0.621","","0.615","","0.615","","0.596","","0.599",""
"185"," South Sudan","..","","..","","..","","..","","0.186","","0.186","","0.186","","0.186","","0.187","","0.186",""
"25"," Spain","0.736","","0.751","","0.758","","0.761","","0.774","","0.785","","0.672","","0.681","","0.695","","0.691",""
"72"," Sri Lanka","0.606","","0.610","","0.636","","0.638","","0.653","","0.655","","0.641","","0.642","","0.686","","0.657",""
"170"," Sudan","..","","..","","..","","..","","0.188","","0.191","","0.193","","0.194","","0.195","","0.198",""
"97"," Suriname","0.475","","0.487","","0.507","","0.515","","0.520","","0.533","","0.559","","0.558","","0.559","","0.551",""
"7"," Sweden","0.822","","0.818","","0.821","","0.875","","0.878","","0.881","","0.882","","0.880","","0.880","","0.884",""
"2"," Switzerland","0.859","","0.862","","0.868","","0.837","","0.827","","0.834","","0.863","","0.867","","0.882","","0.883",""
"151"," Syrian Arab Republic","0.366","","0.373","","0.388","","0.317","","0.295","","0.283","","0.284","","..","","..","","..",""
"125"," Tajikistan","0.608","","0.605","","0.586","","0.586","","0.621","","0.620","","0.625","","0.627","","0.632","","0.641",""
"163"," Tanzania (United Republic of)","0.297","","0.279","","0.305","","0.292","","0.299","","0.308","","0.318","","0.315","","0.311","","0.313",""
"79"," Thailand","0.501","","0.513","","0.514","","0.516","","0.528","","0.537","","0.542","","0.576","","0.551","","0.557",""
"141"," Timor-Leste","0.275","","0.268","","0.266","","0.262","","0.261","","0.261","","0.259","","0.273","","0.273","","0.281",""
"167"," Togo","0.271","","0.279","","0.282","","0.305","","0.300","","0.302","","0.306","","0.310","","0.312","","0.322",""
"104"," Tonga","0.686","","..","","..","","..","","..","","..","","..","","0.735","","0.737","","0.740",""
"67"," Trinidad and Tobago","0.665","","0.666","","0.655","","0.654","","0.658","","0.667","","0.673","","..","","..","","..",""
"95"," Tunisia","0.383","","0.389","","..","","..","","0.419","","0.422","","0.423","","0.427","","0.443","","0.458",""
"54"," Turkey","0.437","","0.452","","0.467","","0.586","","0.601","","0.604","","0.615","","0.625","","0.607","","0.611",""
"111"," Turkmenistan","0.561","","..","","..","","..","","..","","..","","0.606","","0.606","","0.622","","0.634",""
"159"," Uganda","0.354","","0.330","","0.328","","0.337","","0.349","","0.354","","0.356","","0.365","","0.371","","0.377",""
"74"," Ukraine","0.766","","0.739","","0.743","","0.743","","0.771","","0.763","","0.763","","0.765","","0.764","","0.770",""
"31"," United Arab Emirates","..","","..","","..","","..","","..","","..","","..","","..","","0.656","","0.656",""
"13"," United Kingdom","0.877","","0.853","","0.844","","0.889","","0.894","","0.885","","0.832","","0.880","","0.892","","0.902",""
"17"," United States","0.864","","0.864","","0.851","","0.831","","0.844","","0.843","","0.846","","0.850","","0.849","","0.875",""
"55"," Uruguay","0.630","","0.640","","0.649","","0.655","","0.673","","0.666","","0.697","","0.702","","0.700","","0.715",""
"106"," Uzbekistan","0.665","","0.672","","0.682","","0.689","","0.691","","0.695","","0.699","","0.718","","0.720","","0.723",""
