Survey year,Age of reference,Paid work or study,paid work (all jobs),travel to and from work/study,time in school or classes,research/homework,job search,other paid work or study-related,Unpaid work,routine housework,shopping,care for household members,child care,adult care,care for non household members,volunteering,travel related to household activities,other unpaid,Personal care,sleeping,eating & drinking,"personal, household, and medical services + travel related to personal care",Leisure,sports,participating / attending events,visiting or entertaining friends,TV or radio at home,Other leisure activities,Other,religious / spiritual activities and civic obligations,other (no categories),Total
2013,15-64,239,170,32,26,12.0,0.0,0.0,240,148,29,28,28.0,0.0,3.0,3,28.0,0.0,694,520,113,60,253,28,13,34,108,70,15,4,10,1440
2014,15-64,236,166,26,32,11.0,1.0,0.0,331,275,17,55,48.0,7.0,18.0,2,13.0,0.0,642,500,78,63,159,10,6,48,58,37,23,22,1,1440
2016,15-64,201,146,26,12,12.0,1.0,3.0,225,128,32,29,28.0,0.0,9.0,5,22.0,1.0,697,509,117,71,300,20,7,77,100,95,17,7,10,1440
2009,15-64,205,160,18,16,12.0,0.0,0.0,264,142,30,44,44.0,0.0,9.0,6,34.0,0.0,656,529,80,47,295,15,7,77,118,79,19,10,9,1440
2010,15-64,200,129,23,29,14.0,0.0,5.0,227,114,26,34,34.0,0.0,0.0,6,25.0,22.0,642,501,77,63,366,21,9,69,116,152,5,2,3,1440
2013,15-64,203,150,22,22,9.0,0.0,0.0,295,178,30,55,55.0,0.0,10.0,0,21.0,0.0,667,514,92,62,262,21,3,45,109,84,13,9,3,1440
1999,15-64,231,179,20,23,9.0,0.0,0.0,328,253,19,26,0.0,0.0,10.0,2,17.0,0.0,674,508,108,58,200,6,9,35,103,46,7,6,1,1440
2000,15-64,234,169,24,22,19.0,0.0,0.0,286,212,20,30,30.0,0.0,5.0,0,19.0,0.0,630,504,83,43,283,28,4,61,106,84,6,4,2,1440
2009,15-64,167,121,19,17,9.0,1.0,0.0,289,163,31,45,42.0,3.0,8.0,1,24.0,17.0,687,511,123,53,284,37,8,49,118,72,13,4,9,1440
2010,15-64,275,213,30,33,0.0,0.0,0.0,220,120,27,38,31.0,7.0,0.0,0,27.0,8.0,633,483,85,65,306,33,8,56,104,104,5,0,0,1440
2014,15-64,134,85,18,16,14.0,0.0,0.0,305,222,15,46,43.0,3.0,2.0,3,12.0,6.0,685,518,120,47,270,5,2,72,122,69,46,41,5,1440
2014,15-64,216,159,30,12,13.0,1.0,1.0,249,132,36,47,37.0,9.0,8.0,3,23.0,0.0,655,512,78,65,285,16,8,53,122,87,35,5,30,1440
2019,15-64,247,193,17,19,16.0,3.0,0.0,271,120,26,39,37.0,2.0,5.0,7,32.0,3.0,667,538,62,68,266,14,7,45,136,64,28,9,18,1440
2008,15-74,291,228,38,25,0.0,0.0,0.0,234,155,25,33,0.0,0.0,2.0,1,18.0,0.0,692,544,96,52,211,22,2,24,122,41,12,0,12,1440
1998,15-64,185,149,18,10,9.0,0.0,0.0,352,298,9,37,0.0,0.0,1.0,0,6.0,0.0,670,521,80,69,221,1,3,64,54,98,13,13,0,1440
2010,15-64,195,116,29,22,13.0,0.0,14.0,250,183,11,30,29.0,1.0,1.0,2,10.0,13.0,695,557,69,69,282,2,5,74,125,76,19,19,0,1440
2006,15 and more,304,248,31,15,10.0,0.0,0.0,172,93,22,27,0.0,0.0,0.0,4,25.0,0.0,649,513,87,49,297,23,5,34,159,76,18,10,8,1440
2008,15-64,365,303,34,23,1.0,2.0,1.0,135,79,16,21,20.0,1.0,0.0,5,13.0,2.0,624,496,77,51,308,34,10,81,117,66,8,3,5,1440
2013,15-64,274,203,29,28,13.0,0.0,0.0,144,87,23,14,14.0,0.0,4.0,4,13.0,0.0,648,506,96,47,365,27,18,47,140,134,8,2,6,1440
2015,15-64,341,270,33,21,14.0,2.0,0.0,148,95,19,19,18.0,1.0,3.0,3,9.0,0.0,622,514,65,43,298,25,6,53,118,96,32,3,29,1440
2001,15-64,260,211,29,13,7.0,0.0,0.0,186,107,22,20,0.0,0.0,11.0,4,22.0,0.0,643,479,118,46,340,25,7,74,132,101,11,7,4,1440
2009,15-64,264,211,30,23,0.0,0.0,0.0,160,89,20,18,18.0,0.0,11.0,0,21.0,0.0,664,532,82,50,345,32,7,36,140,130,6,0,6,1440
2009,15-64,249,198,21,28,0.0,0.0,2.0,157,84,23,14,13.0,1.0,2.0,4,20.0,11.0,630,505,80,45,359,39,7,50,136,127,45,1,44,1440
2009,15-64,235,174,26,24,8.0,3.0,1.0,135,97,18,14,13.0,1.0,1.0,0,4.0,1.0,743,509,134,99,319,17,16,52,125,109,8,2,6,1440
2012,15-64,290,227,33,15,10.0,1.0,5.0,150,81,27,12,11.0,1.0,6.0,7,17.0,2.0,638,494,93,50,346,28,13,58,126,121,16,2,14,1440
2013,15-64,274,210,28,22,14.0,0.0,0.0,95,51,15,13,13.0,0.0,5.0,0,11.0,0.0,689,501,134,54,375,34,5,58,150,129,6,2,4,1440
2010,15-64,273,200,33,29,10.0,0.0,0.0,162,102,16,18,18.0,0.0,10.0,0,16.0,0.0,686,503,105,78,308,17,5,37,144,105,11,1,9,1440
2005,15-64,341,277,26,38,0.0,0.0,0.0,127,48,16,29,0.0,0.0,0.0,9,26.0,0.0,595,482,76,37,338,23,50,43,94,128,40,5,35,1440
2013,15-64,221,160,27,14,13.0,4.0,3.0,131,64,23,18,16.0,1.0,5.0,3,18.0,0.0,710,514,129,67,366,44,7,73,117,126,12,6,6,1440
2016,15-64,452,360,54,38,,0.0,0.0,41,14,15,0,7.0,1.0,,3,,0.0,613,448,91,74,292,14,0,15,103,160,43,0,43,1440
2014,15-64,419,287,72,39,21.0,0.0,0.0,49,22,7,11,0.0,0.0,1.0,0,7.0,,676,471,119,85,272,31,4,38,101,98,24,7,17,1440
2003,15-64,377,323,43,8,3.0,0.0,0.0,130,85,11,4,4.0,0.0,12.0,0,18.0,0.0,640,510,93,36,290,30,6,35,139,80,3,1,2,1440
2003,20-64,354,311,33,8,2.0,0.0,0.0,152,96,13,8,8.0,0.0,16.0,0,19.0,0.0,644,501,91,53,282,20,1,32,160,70,8,2,6,1440
2013,15-64,330,254,38,25,13.0,0.0,0.0,121,69,17,12,12.0,0.0,3.0,2,18.0,0.0,677,515,111,51,299,39,12,31,124,93,13,3,10,1440
2014,15-64,478,375,54,37,11.0,3.0,0.0,131,87,11,18,14.0,4.0,6.0,2,6.0,0.0,624,497,76,52,187,18,8,40,74,46,19,18,1,1440
2016,15-64,285,220,36,15,11.0,1.0,2.0,145,81,25,14,14.0,0.0,5.0,5,15.0,1.0,666,496,112,58,330,25,6,68,125,106,14,4,10,1440
2009,15-64,338,279,29,21,10.0,0.0,0.0,141,76,17,16,16.0,0.0,6.0,4,22.0,0.0,639,522,79,37,306,19,6,59,132,90,16,7,9,1440
2010,15-64,277,199,36,35,4.0,0.0,4.0,168,56,15,14,14.0,0.0,0.0,6,23.0,55.0,615,484,81,49,370,21,8,47,140,155,9,2,7,1440
2013,15-64,315,254,32,21,8.0,0.0,0.0,159,94,20,22,22.0,0.0,7.0,1,16.0,0.0,645,503,89,53,311,26,3,45,135,103,10,7,3,1440
1999,15-64,372,300,32,32,8.0,0.0,0.0,96,51,10,6,0.0,0.0,4.0,1,24.0,0.0,677,503,116,58,289,20,13,53,126,77,5,4,1,1440
2000,15-64,300,236,28,21,15.0,0.0,0.0,166,114,15,11,11.0,0.0,9.0,1,16.0,0.0,632,501,89,41,337,35,5,63,133,100,5,3,2,1440
2009,15-64,236,181,24,18,8.0,4.0,1.0,146,70,20,25,23.0,2.0,3.0,1,19.0,8.0,697,520,128,48,347,47,10,53,140,97,14,4,10,1440
2010,15-64,313,251,33,30,0.0,0.0,0.0,171,93,20,26,19.0,7.0,0.0,0,26.0,6.0,611,482,80,49,338,36,10,49,123,121,7,0,0,1440
2014,15-64,358,287,44,17,10.0,0.0,0.0,68,27,13,11,10.0,2.0,1.0,3,12.0,0.0,679,511,116,52,301,13,3,64,126,94,34,26,8,1440
2014,15-64,309,228,49,15,14.0,2.0,1.0,140,75,23,17,15.0,3.0,5.0,2,18.0,0.0,635,504,80,50,327,23,6,42,145,110,30,4,26,1440
2019,15-64,332,274,26,17,13.0,2.0,0.0,166,78,17,18,17.0,2.0,2.0,5,23.0,3.0,635,524,62,49,306,25,6,41,152,81,20,7,13,1440
2008,15-74,390,308,56,26,0.0,0.0,0.0,91,48,15,13,0.0,0.0,2.0,1,12.0,0.0,696,540,104,52,248,24,3,22,132,67,15,0,15,1440
1998,15-64,391,318,44,14,14.0,0.0,0.0,52,19,14,8,0.0,0.0,1.0,0,10.0,0.0,703,534,87,81,283,9,6,81,68,119,12,12,0,1440
2010,15-64,294,196,44,30,13.0,0.0,11.0,103,68,8,3,3.0,0.0,0.0,2,8.0,14.0,695,549,76,70,334,9,6,92,139,89,13,13,0,1440
