caseid,market,census,region,qs1,s1t,qs3,q1a,q2a,q3,q3b,q4a,q5a,q6a,weekavg,q6b,q7a,q7b,q7c,q7d,q8a,q8b,q8c,q9a,q9b,q9c,q9d,q9e,q10,q11,q12,q13,q14,q15a,q15b,q15c,q16a,q16b,q16c,q17a,q17b,q18,q19,q20,q21a,slp,q21b,q22a,q22b,q22c,q22d,q22e,q22f,q22g,q23a,q23b,q23c,q23d,q23e,q23f,q24a,q24b,q24c,q24d,q24e,q24f,q24g,q25a,q25b,q25c,q25d,q25e,q26a,q26b,q26c,q27,q28,q2901,q2902,q2903,q2904,q2905,q2906,q30a,q30b,q31a,q31b,q32,q33a,q33b,q33c,q34,q35a,q35b,q35c,q35d,q35e,q35f,q3601,q3602,q3603,q3604,q3605,q3606,q3607,q3608,q3609,q3610,q37,d1,d2a,d2b,d2c,d2d,ttlkid,d3,d4,d501,d502,d503,d504,d6,d7,q38,q39a,q39b,q39c,q39d,q40a,q40b,q40c,q40d
948,Mid5,2,2,1,,1,5,15,5.00,00,7,2,5.50,5.14,30,4,5,5,5,1,99,1,4,4,3,4,4,1,4,3,4,4,2,2,2,,,,1,1,2,,1,8.50,1.00,30,3,3,5,3,5,5,3,1,4,2,4,4,4,1,5,5,1,1,5,5,4,1,1,1,4,1,1,2,0,2,6,,,,,,1,4,2,1,6,1,2,4,4,08,08,08,08,08,08,2,,,,,,,,,,1,1,04,96,96,04,4,2,3,2,,,,029,4,1,3,4,3,4,2,1,2,2
64,NE1,1,1,1,,1,5,4,3.00,00,10,3,8.00,4.43,00,3,1,1,4,1,1,1,4,3,4,3,3,2,3,3,4,3,2,2,2,,,,1,1,2,,4,2.50,3.00,30,2,2,2,1,2,2,2,4,4,4,4,4,4,4,4,4,3,4,5,4,3,4,3,2,2,1,2,2,00,4,6,,,,,,3,3,3,2,5,4,1,4,4,10,6,10,10,10,8,1,,,,,,,,,,3,2,96, , , ,,4,6,1,,,,026,6,3,1,1,1,2,,,,
782,South1,3,3,1,,1,4,1,5.00,00,7,3,6.00,5.29,00,3,2,3,3,99,99,1,3,4,3,4,1,4,4,4,3,3,2,2,1,,,2,2,2,2,,2,3.00,3.00,00,3,2,3,2,2,3,2,1,4,2,4,3,4,3,3,3,2,3,4,3,1,1,1,1,1,1,2,2,000,2,6,,,,,,4,3,3,1,3,4,2,3,3,12,16,12,12,16,16,2,,,,,,,,,,1,1,01,96,01,96,1,4,6,1,,,,036,6,5,2,2,2,2,,,,
453,South4,3,3,1,,1,8,3,5.00,00,12,4,6.00,5.29,00,2,4,4,3,3,99,4,4,4,4,4,3,3,1,2,4,4,2,2,1,,,1,1,1,1,2,1,4.00,3.00,00,1,1,1,1,1,1,1,2,5,2,5,5,1,4,5,5,5,5,5,3,1,1,2,3,1,2,2,2, ,,,,,,,,2,4,4,4,1,4,1,4,4,10,10,10,10,10,08,1,2,,,,,,,,,1,3,96, , , ,,3,5,2,,,,032,5,3,1,1,1,1,,,,
868,NE5,1,1,1,,1,4,2,5.00,00,8,3,6.00,5.29,00,3,3,3,5,1,1,2,3,1,2,4,2,2,4,4,3,2,2,2,2,,,,1,1,1,2,1,4.00,3.00,00,3,2,3,2,2,3,3,2,5,3,3,3,3,3,4,4,4,4,3,4,1,1,1,1,1,1,2,2,000,3,6,,,,,,2,3,2,1,2,1,4,1,3,12,15,16,16,24,12,1,,,,,,,,,,1,2,96, , , ,,4,3,1,,,,026,4,2,4,3,4,4,2,2,2,2
267,NE1,1,1,1,,1,4,12,6.00,00,11,1,5.00,5.71,00,1,5,3,2,5,5,2,3,3,99,3,3,3,4,4,4,4,2,2,2,,,,1,1,2,,4,4.00,3.00,00,1,2,4,2,2,2,2,2,5,3,4,2,4,3,4,4,2,3,4,3,4,2,2,2,4,1,1,2,000,3,3,,,,,,1,3,3,4,3,4,3,4,4,08,08,12,12,12,06,1,,,,,,,,,,1,2,96, , , ,,4,7,1,,,,056,7,4,1,2,1,2,,,,
846,South4,3,3,1,,1,3,12,6.00,00,2,12,5.00,5.71,00,1,1,1,5,5,1,1,4,1,4,1,4,2,1,1,4,3,2,2,2,,,,5,1,2,,1,4.00,3.00,00,1,2,1,1,1,1,1,2,2,2,5,2,2,4,5,5,5,5,5,5,1,1,1,1,1,2,2,2, ,,,,,,,,3,3,3,3,3,3,4,1,1,12,12,12,10,12,08,2,,,,,,,,,,1,1,96, , , ,,5,2,1,,,,039,3,2,3,3,1,1,2,2,2,2
63,NE1,1,1,1,,2,5,14,5.00,00,5,14,6.00,5.29,00,3,3,3,3,99,99,1,3,3,4,4,3,2,4,4,4,4,2,2,2,,,,1,1,2,,2,5.00,2.00,00,2,3,2,3,2,3,3,2,3,3,2,3,3,1,5,5,1,5,5,5,1,1,1,3,1,2,2,2, ,,,,,,,,99,4,2,1,3,1,4,1,3,10,10,99,99,99,08,2,,,,,,,,,,1,2,96, , , ,,4,5,1,,,,052,2,3,1,1,1,1,,,,
293,South2,3,3,1,,1,4,15,5.00,00,6,3,6.00,5.29,00,1,2,3,3,99,99,1,4,2,4,4,2,4,4,4,4,4,2,2,2,,,,1,1,2,,3,5.00,2.00,00,1,1,2,1,1,1,2,3,4,2,4,3,3,3,3,3,2,3,3,2,3,3,3,1,1,2,2,2, ,,,,,,,,4,4,4,3,3,4,1,4,4,06,06,08,08,08,07,2,,,,,,,,,,1,4,96, , , ,,4,6,3,,,,051,2,4,1,2,1,1,,,,
729,South4,3,3,1,,1,11,4,5.00,00,12,4,6.00,5.29,00,2,2,2,2,5,99,1,2,2,3,2,2,4,3,2,4,4,2,2,2,,,,1,1,2,,2,5.00,2.00,00,2,3,3,3,3,3,4,2,3,3,3,3,3,4,3,3,4,3,4,4,2,2,2,2,2,1,2,2,000,2,3,,,,,,3,3,3,3,5,2,2,99,4,08,08,08,08,08,08,1,,,,,,,,,,95,4,96, , , ,,4,5,1,,,,050,3,3,2,2,2,2,,,,
934,South2,3,3,1,,1,5,2,5.00,00,9,4,6.00,5.29,00,4,4,1,1,1,1,4,4,4,3,4,1,3,4,4,4,4,2,2,1,,,1,1,4,2,,1,5.00,2.00,00,3,4,99,2,5,2,2,1,5,2,4,4,2,3,5,3,3,1,5,5,1,1,1,1,1,2,2,2, ,,,,,,,,3,3,4,4,3,4,1,4,4,08,06,08,08,08,06,7,,,,,,,,,,,6,01,96,96,01,1,2,4,1,,,,053,1,4,1,1,1,1,,,,
207,Mid1,2,2,1,,1,7,14,6.00,00,7,1,5.00,5.71,00,2,4,1,2,5,99,2,4,4,4,4,3,4,4,4,4,4,2,2,2,,,,1,1,2,,2,5.00,3.00,00,1,2,2,2,2,1,2,1,4,3,4,3,4,3,3,3,2,3,3,3,1,1,2,1,1,1,2,2,00,1,,,,,,,4,4,3,99,2,4,1,4,4,08,08,09,09,08,08,2,,,,,,,,,,1,2,01,96,01,96,1,4,5,1,,,,057,3,4,2,1,1,2,,,,
956,Mid3,2,2,1,,1,10,4,6.00,00,11,4,5.00,5.71,00,2,2,3,3,3,1,1,4,2,4,4,4,3,3,3,4,4,2,2,2,,,,1,1,2,,3,5.00,3.00,00,5,4,4,4,4,4,5,3,2,5,5,2,4,4,4,4,3,4,4,4,2,2,2,2,2,2,2,2, ,,,,,,,,3,4,3,3,3,4,1,4,4,06,07,08,08,08,06,2,,,,,,,,,,1,2,96, , , ,,4,7,2,,,,028,4,5,1,1,1,2,,,,
439,NE3,1,1,1,,2,4,15,5.00,00,9,1,6.00,5.29,00,3,3,3,3,2,1,2,3,3,3,4,4,3,4,4,4,4,2,2,2,,,,1,1,2,,2,6.00,1.00,00,2,1,4,3,3,3,3,3,4,4,4,3,4,3,3,4,4,3,4,3,2,3,4,3,4,2,2,2, ,,,,,,,,3,3,2,2,3,3,2,4,2,06,08,08,07,08,08,3,,,,,,,,,,1,1,03,01,01,01,3,4,3,1,,,,040,3,3,2,2,3,2,,,,
107,Mid2,2,2,1,,2,3,15,5.50,30,5,3,5.50,5.50,30,4,5,2,5,5,1,2,3,4,3,3,3,2,3,3,3,4,2,2,2,,,,3,1,2,,3,6.00,1.00,00,4,4,3,4,4,4,4,1,4,4,4,4,4,3,4,4,4,2,3,3,3,2,2,4,2,2,2,2, ,,,,,,,,3,3,4,2,1,4,2,4,4,06,08,10,08,08,08,2,,,,,,,,,,1,1,96, , , ,,2,7,4,,,,033,6,1,3,4,3,3,2,1,2,2
